composition,members,votes,dataset,lang,kind,status,missed,gold_spans
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,corrupt-redmadrobot,ru,pii,missing,,5531
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,corrupt-secrets-issues,en,secrets,missing,,288
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,creddata,en,secrets,missing,,776
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,dialogpii-en,en,pii,missing,,3087
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,dialogpii-multi,multi,pii,missing,,10345
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,factrueval,ru,pii,missing,,7966
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,gretel-multi,multi,pii,missing,,4484
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,hivetrace,ru,pii,ok,6,1667
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,jayguard,ru,pii,ok,89,1195
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,kiji-en,en,pii,missing,,7623
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,kiji-multi,multi,pii,missing,,7565
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,leak-museum,en,secrets,missing,,101
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,leaky-repo,en,secrets,ok,1,95
