system,dataset,train,category,gold,original_gold,characters,hit,hidden,raw_hidden,original_hidden,covered_characters
model:gliner2-hivetrace-omni,ameau01,False,accounts,131,131,1108,131,131,131,131,1108
model:gliner2-hivetrace-omni,ameau01,False,network,777,777,13053,757,757,757,757,12684
model:gliner2-hivetrace-omni,ameau01,False,addresses,184,184,1474,170,170,170,170,1362
model:gliner2-hivetrace-omni,ameau01,False,names,382,382,4674,382,381,380,380,4668
model:gliner2-hivetrace-omni,ameau01,False,logins,627,627,4692,541,541,541,541,4050
model:gliner2-fastino,ameau01,False,contacts,141,141,2790,140,140,140,140,2786
model:gliner2-fastino,ameau01,False,accounts,131,131,1108,129,129,129,129,1094
model:gliner2-fastino,ameau01,False,network,777,777,13053,663,663,663,663,10909
model:gliner2-fastino,ameau01,False,addresses,184,184,1474,164,164,164,164,1315
model:gliner2-fastino,ameau01,False,names,382,382,4674,382,381,380,380,4673
model:gliner2-fastino,ameau01,False,logins,627,627,4692,604,604,604,604,4475
model:nuner-zero,ameau01,False,contacts,141,141,2790,141,141,136,136,2790
model:nuner-zero,ameau01,False,accounts,131,131,1108,123,123,123,123,1038
model:nuner-zero,ameau01,False,network,777,777,13053,559,559,559,559,8931
model:nuner-zero,ameau01,False,addresses,184,184,1474,140,140,139,139,1129
model:nuner-zero,ameau01,False,names,382,382,4674,380,377,1,1,4632
model:nuner-zero,ameau01,False,logins,627,627,4692,552,551,550,550,4032
model:gliner-stream-pii,ameau01,False,contacts,141,141,2790,129,101,101,101,2282
model:gliner-stream-pii,ameau01,False,accounts,131,131,1108,129,129,129,129,1094
model:gliner-stream-pii,ameau01,False,network,777,777,13053,544,544,544,544,8753
model:gliner-stream-pii,ameau01,False,addresses,184,184,1474,118,118,118,118,952
model:gliner-stream-pii,ameau01,False,names,382,382,4674,370,355,355,355,4415
model:gliner-stream-pii,ameau01,False,logins,627,627,4692,599,597,597,597,4405
model:gliner-nvidia,ameau01,False,contacts,141,141,2790,137,133,133,133,2698
model:gliner-nvidia,ameau01,False,accounts,131,131,1108,129,129,129,129,1090
model:gliner-nvidia,ameau01,False,network,777,777,13053,456,456,456,456,6994
model:gliner-nvidia,ameau01,False,addresses,184,184,1474,181,181,181,181,1447
model:gliner-nvidia,ameau01,False,names,382,382,4674,380,365,359,359,4546
model:gliner-nvidia,ameau01,False,logins,627,627,4692,594,594,594,594,4357
model:pplx,ameau01,False,contacts,141,141,2790,138,138,138,138,2758
model:pplx,ameau01,False,accounts,131,131,1108,130,127,127,127,1087
model:pplx,ameau01,False,network,777,777,13053,552,537,531,531,8521
model:pplx,ameau01,False,addresses,184,184,1474,47,47,47,47,379
model:pplx,ameau01,False,names,382,382,4674,381,380,379,379,4650
model:pplx,ameau01,False,logins,627,627,4692,601,601,595,595,4414
model:gliner-urchade,ameau01,False,contacts,141,141,2790,131,112,112,112,2404
model:gliner-urchade,ameau01,False,accounts,131,131,1108,97,97,97,97,814
model:gliner-urchade,ameau01,False,network,777,777,13053,516,516,516,516,8307
model:gliner-urchade,ameau01,False,addresses,184,184,1474,115,115,115,115,932
model:gliner-urchade,ameau01,False,names,382,382,4674,381,380,379,379,4658
model:gliner-urchade,ameau01,False,logins,627,627,4692,510,510,510,510,3783
model:mmbert32k,ameau01,False,contacts,141,141,2790,140,103,59,59,2559
model:mmbert32k,ameau01,False,accounts,131,131,1108,113,45,15,15,724
model:mmbert32k,ameau01,False,network,777,777,13053,625,181,69,69,7238
model:mmbert32k,ameau01,False,addresses,184,184,1474,33,33,33,33,267
model:mmbert32k,ameau01,False,names,382,382,4674,382,373,373,373,4609
model:mmbert32k,ameau01,False,logins,627,627,4692,451,432,310,310,3309
model:gliner2-large,ameau01,False,contacts,141,141,2790,141,141,141,141,2790
model:gliner2-large,ameau01,False,accounts,131,131,1108,126,126,126,126,1065
model:gliner2-large,ameau01,False,network,777,777,13053,458,458,458,458,7040
model:gliner2-large,ameau01,False,addresses,184,184,1474,145,145,145,145,1170
model:gliner2-large,ameau01,False,names,382,382,4674,380,379,378,378,4645
model:gliner2-large,ameau01,False,logins,627,627,4692,459,458,458,458,3424
model:gliner-pii-base,ameau01,False,contacts,141,141,2790,136,136,136,136,2692
model:gliner-pii-base,ameau01,False,accounts,131,131,1108,130,130,130,130,1099
model:gliner-pii-base,ameau01,False,network,777,777,13053,658,658,658,658,10877
model:gliner-pii-base,ameau01,False,addresses,184,184,1474,124,124,124,124,1015
model:gliner-pii-base,ameau01,False,names,382,382,4674,116,115,115,115,1468
model:gliner-pii-base,ameau01,False,logins,627,627,4692,534,534,534,534,3918
model:gliner-pii-edge,ameau01,False,contacts,141,141,2790,134,132,132,132,2656
model:gliner-pii-edge,ameau01,False,accounts,131,131,1108,131,131,131,131,1108
model:gliner-pii-edge,ameau01,False,network,777,777,13053,465,465,465,465,7584
model:gliner-pii-edge,ameau01,False,addresses,184,184,1474,176,176,176,176,1417
model:gliner-pii-edge,ameau01,False,names,382,382,4674,145,141,141,141,1727
model:gliner-pii-edge,ameau01,False,logins,627,627,4692,576,575,575,575,4272
model:gliner25-fastino,ameau01,False,contacts,141,141,2790,137,137,137,137,2764
model:gliner25-fastino,ameau01,False,accounts,131,131,1108,52,52,52,52,425
model:gliner25-fastino,ameau01,False,network,777,777,13053,453,453,453,453,6786
model:gliner25-fastino,ameau01,False,addresses,184,184,1474,118,118,118,118,950
model:gliner25-fastino,ameau01,False,names,382,382,4674,382,381,380,380,4668
model:gliner25-fastino,ameau01,False,logins,627,627,4692,484,484,484,484,3603
model:openmed-multilingual,ameau01,False,contacts,141,141,2790,140,140,138,138,2786
model:openmed-multilingual,ameau01,False,accounts,131,131,1108,131,131,131,131,1108
model:openmed-multilingual,ameau01,False,network,777,777,13053,353,286,264,264,4069
model:openmed-multilingual,ameau01,False,addresses,184,184,1474,141,141,140,140,1158
model:openmed-multilingual,ameau01,False,names,382,382,4674,381,23,370,370,4270
model:openmed-multilingual,ameau01,False,logins,627,627,4692,462,458,366,366,3439
model:kalyan-ettin,ameau01,False,contacts,141,141,2790,135,129,129,129,2714
model:kalyan-ettin,ameau01,False,accounts,131,131,1108,107,63,46,46,725
model:kalyan-ettin,ameau01,False,network,777,777,13053,278,172,170,170,2681
model:kalyan-ettin,ameau01,False,addresses,184,184,1474,136,136,134,134,1077
model:kalyan-ettin,ameau01,False,names,382,382,4674,375,35,231,231,3872
model:kalyan-ettin,ameau01,False,logins,627,627,4692,500,489,391,391,3727
model:gliner-multi-v21,ameau01,False,contacts,141,141,2790,80,22,22,22,881
model:gliner-multi-v21,ameau01,False,accounts,131,131,1108,57,57,57,57,479
model:gliner-multi-v21,ameau01,False,network,777,777,13053,382,382,382,382,5791
model:gliner-multi-v21,ameau01,False,addresses,184,184,1474,146,146,146,146,1181
model:gliner-multi-v21,ameau01,False,names,382,382,4674,369,369,368,368,4525
model:gliner-multi-v21,ameau01,False,logins,627,627,4692,415,414,414,414,3092
model:openmed-nemotron,ameau01,False,contacts,141,141,2790,140,138,135,135,2777
model:openmed-nemotron,ameau01,False,accounts,131,131,1108,80,35,33,33,512
model:openmed-nemotron,ameau01,False,network,777,777,13053,258,222,211,211,2781
model:openmed-nemotron,ameau01,False,addresses,184,184,1474,113,113,113,113,916
model:openmed-nemotron,ameau01,False,names,382,382,4674,381,2,374,374,4263
model:openmed-nemotron,ameau01,False,logins,627,627,4692,459,454,357,357,3464
model:nym-base,ameau01,False,contacts,141,141,2790,141,141,141,141,2790
model:nym-base,ameau01,False,accounts,131,131,1108,131,131,131,131,1108
model:nym-base,ameau01,False,network,777,777,13053,83,59,48,48,778
model:nym-base,ameau01,False,addresses,184,184,1474,139,139,139,139,1117
model:nym-base,ameau01,False,names,382,382,4674,382,5,378,378,4275
model:nym-base,ameau01,False,logins,627,627,4692,538,535,518,518,4024
model:opf-ru,ameau01,False,contacts,141,141,2790,141,140,137,137,2774
model:opf-ru,ameau01,False,accounts,131,131,1108,41,8,6,6,178
model:opf-ru,ameau01,False,network,777,777,13053,243,85,43,43,1907
model:opf-ru,ameau01,False,addresses,184,184,1474,6,6,6,6,45
model:opf-ru,ameau01,False,names,382,382,4674,374,345,344,344,4418
